Date,Transect,NET,Impact,dt
2021-12-03 04:00,CN_SRI_MUM_02631022,0.843,2,+28h
2021-11-13 10:00,CN_SRI_MUM_02631022,-0.316,1,+34h
2021-11-28 14:00,CN_SRI_MUM_02631022,0.365,1,+38h
2021-12-08 13:00,CN_SRI_MUM_02631022,-0.533,1,+37h
2021-11-26 09:00,CN_SRI_MUM_02631022,0.256,1,+33h
2021-11-18 09:00,CN_SRI_MUM_02631022,0.025,1,+33h
2021-11-15 08:00,CN_SRI_MUM_02631022,-0.550,1,+32h
2021-11-21 22:00,CN_SRI_MUM_02631022,0.595,1,+46h
2021-11-22 05:00,CN_SRI_MUM_02631022,-0.443,1,+29h
2021-11-28 05:00,CN_SRI_MUM_02631022,-0.163,1,+29h
2021-11-28 11:00,CN_SRI_MUM_02631022,0.254,1,+35h
2021-11-16 16:00,CN_SRI_MUM_02631022,0.652,2,+40h
2021-12-01 22:00,CN_SRI_MUM_02631022,-0.793,1,+46h
2021-11-20 20:00,CN_SRI_MUM_02631022,1.118,2,+44h
2021-11-22 03:00,CN_SRI_MUM_02631022,-1.092,1,+27h
2021-12-02 01:00,CN_SRI_MUM_02631022,-0.214,1,+25h
2021-11-21 13:00,CN_SRI_MUM_02631022,-0.922,1,+37h
2021-11-14 12:00,CN_SRI_MUM_02631022,-0.071,1,+36h
2021-11-09 11:00,CN_SRI_MUM_02631022,0.515,1,+11h
2021-12-01 20:00,CN_SRI_MUM_02631022,-0.101,1,+44h
2021-11-23 21:00,CN_SRI_MUM_02631022,1.380,2,+45h
2021-11-11 16:00,CN_SRI_MUM_02631022,-0.674,1,+40h
2021-11-17 22:00,CN_SRI_MUM_02631022,-0.711,1,+46h
2021-12-07 11:00,CN_SRI_MUM_02631022,0.388,1,+35h
2021-11-23 14:00,CN_SRI_MUM_02631022,-0.779,1,+38h
2021-11-17 12:00,CN_SRI_MUM_02631022,-0.761,1,+36h
2021-11-21 21:00,CN_SRI_MUM_02631022,0.994,2,+45h
2021-12-09 18:00,CN_SRI_MUM_02631022,-0.484,1,+42h
2021-12-02 08:00,CN_SRI_MUM_02631022,-0.365,1,+32h
2021-11-30 00:00,CN_SRI_MUM_02631022,0.217,1,+48h
2021-11-20 06:00,CN_SRI_MUM_02631022,0.329,1,+30h
2021-12-05 09:00,CN_SRI_MUM_02631022,0.393,1,+33h
2021-11-24 18:00,CN_SRI_MUM_02631022,-0.043,1,+42h
2021-11-29 03:00,CN_SRI_MUM_02631022,0.625,1,+27h
2021-11-16 01:00,CN_SRI_MUM_02631022,0.145,1,+25h
2021-11-16 12:00,CN_SRI_MUM_02631022,-0.611,1,+36h
2021-11-28 22:00,CN_SRI_MUM_02631022,0.121,1,+46h
2021-11-29 04:00,CN_SRI_MUM_02631022,0.336,1,+28h
2021-11-25 18:00,CN_SRI_MUM_02631022,-0.244,1,+42h
2021-11-09 10:00,CN_SRI_MUM_02631022,0.759,2,+10h
2021-11-24 01:00,CN_SRI_MUM_02631022,-0.029,1,+25h
2021-12-08 08:00,CN_SRI_MUM_02631022,0.441,1,+32h
2021-11-17 06:00,CN_SRI_MUM_02631022,0.874,2,+30h
2021-12-01 00:00,CN_SRI_MUM_02631022,-0.361,1,+48h
2021-11-12 23:00,CN_SRI_MUM_02631022,0.751,2,+47h
2021-11-17 14:00,CN_SRI_MUM_02631022,-0.224,1,+38h
2021-12-07 18:00,CN_SRI_MUM_02631022,0.471,1,+42h
2021-11-21 06:00,CN_SRI_MUM_02631022,0.211,1,+30h
2021-11-20 05:00,CN_SRI_MUM_02631022,-0.008,1,+29h
2021-11-11 09:00,CN_SRI_MUM_02631022,-0.070,1,+33h
2021-11-09 13:00,CN_SRI_MUM_02631022,-0.455,1,+13h
2021-11-26 03:00,CN_SRI_MUM_02631022,-0.319,1,+27h
2021-11-19 00:00,CN_SRI_MUM_02631022,-0.965,1,+48h
2021-12-10 21:00,CN_SRI_MUM_02631022,0.909,2,+45h
2021-11-29 11:00,CN_SRI_MUM_02631022,-0.099,1,+35h
2021-11-27 16:00,CN_SRI_MUM_02631022,-0.255,1,+40h
2021-11-26 22:00,CN_SRI_MUM_02631022,1.053,2,+46h
2021-11-20 16:00,CN_SRI_MUM_02631022,-0.152,1,+40h
2021-11-13 07:00,CN_SRI_MUM_02631022,-0.695,1,+31h
2021-11-23 23:00,CN_SRI_MUM_02631022,0.889,2,+47h
2021-12-10 00:00,CN_SRI_MUM_02631022,0.633,1,+48h
2021-11-22 23:00,CN_SRI_MUM_02631022,0.733,2,+47h
2021-11-26 04:00,CN_SRI_MUM_02631022,-0.570,1,+28h
2021-11-29 09:00,CN_SRI_MUM_02631022,-0.585,1,+33h
2021-11-16 23:00,CN_SRI_MUM_02631022,-1.073,1,+47h
2021-11-27 12:00,CN_SRI_MUM_02631022,0.616,1,+36h
2021-11-18 15:00,CN_SRI_MUM_02631022,0.201,1,+39h
2021-11-11 19:00,CN_SRI_MUM_02631022,-0.551,1,+43h
2021-11-25 07:00,CN_SRI_MUM_02631022,-0.175,1,+31h
2021-11-15 21:00,CN_SRI_MUM_02631022,-0.530,1,+45h
2021-12-05 17:00,CN_SRI_MUM_02631022,0.781,2,+41h
2021-11-26 17:00,CN_SRI_MUM_02631022,-0.577,1,+41h
2021-12-10 20:00,CN_SRI_MUM_02631022,0.461,1,+44h
2021-11-17 05:00,CN_SRI_MUM_02631022,0.885,2,+29h
2021-11-09 03:00,CN_SRI_MUM_02631022,-1.283,1,+03h
2021-12-08 12:00,CN_SRI_MUM_02631022,-0.035,1,+36h
2021-11-09 16:00,CN_SRI_MUM_02631022,-1.055,1,+16h
2021-11-09 07:00,CN_SRI_MUM_02631022,-0.001,1,+07h
2021-11-20 08:00,CN_SRI_MUM_02631022,0.408,1,+32h
2021-11-12 04:00,CN_SRI_MUM_02631022,-0.620,1,+28h
2021-11-13 21:00,CN_SRI_MUM_02631022,-0.366,1,+45h
2021-11-14 02:00,CN_SRI_MUM_02631022,0.970,2,+26h
2021-12-03 08:00,CN_SRI_MUM_02631022,0.438,1,+32h
2021-11-11 17:00,CN_SRI_MUM_02631022,-0.830,1,+41h
2021-11-14 20:00,CN_SRI_MUM_02631022,-0.463,1,+44h
2021-12-06 04:00,CN_SRI_MUM_02631022,-1.022,1,+28h
2021-11-11 21:00,CN_SRI_MUM_02631022,0.128,1,+45h
2021-11-26 21:00,CN_SRI_MUM_02631022,0.763,2,+45h
2021-11-29 20:00,CN_SRI_MUM_02631022,-0.672,1,+44h
2021-11-17 11:00,CN_SRI_MUM_02631022,-0.748,1,+35h
2021-11-30 08:00,CN_SRI_MUM_02631022,-0.395,1,+32h
2021-11-13 16:00,CN_SRI_MUM_02631022,0.221,1,+40h
2021-11-21 19:00,CN_SRI_MUM_02631022,1.069,2,+43h
2021-12-09 17:00,CN_SRI_MUM_02631022,-0.889,1,+41h
2021-12-06 14:00,CN_SRI_MUM_02631022,-1.401,1,+38h
2021-12-07 10:00,CN_SRI_MUM_02631022,0.940,2,+34h
2021-12-10 12:00,CN_SRI_MUM_02631022,0.330,1,+36h
2021-11-23 16:00,CN_SRI_MUM_02631022,-0.523,1,+40h
2021-11-11 00:00,CN_SRI_MUM_02631022,1.217,2,+48h
2021-11-25 09:00,CN_SRI_MUM_02631022,0.347,1,+33h
2021-11-12 15:00,CN_SRI_MUM_02631022,-0.055,1,+39h
2021-12-09 02:00,CN_SRI_MUM_02631022,-0.662,1,+26h
2021-12-03 12:00,CN_SRI_MUM_02631022,-0.766,1,+36h
2021-11-11 10:00,CN_SRI_MUM_02631022,0.237,1,+34h
2021-11-15 14:00,CN_SRI_MUM_02631022,0.427,1,+38h
2021-11-20 15:00,CN_SRI_MUM_02631022,-0.677,1,+39h
2021-12-04 06:00,CN_SRI_MUM_02631022,0.636,1,+30h
2021-11-27 18:00,CN_SRI_MUM_02631022,-0.306,1,+42h
2021-11-21 04:00,CN_SRI_MUM_02631022,-0.621,1,+28h
2021-11-10 05:00,CN_SRI_MUM_02631022,-1.188,1,+29h
2021-11-26 05:00,CN_SRI_MUM_02631022,-0.650,1,+29h
2021-11-15 10:00,CN_SRI_MUM_02631022,-0.791,1,+34h
2021-11-14 14:00,CN_SRI_MUM_02631022,0.513,1,+38h
2021-11-11 06:00,CN_SRI_MUM_02631022,-1.006,1,+30h
2021-12-05 04:00,CN_SRI_MUM_02631022,-0.189,1,+28h
2021-11-09 08:00,CN_SRI_MUM_02631022,0.481,1,+08h
2021-11-21 10:00,CN_SRI_MUM_02631022,0.060,1,+34h
2021-12-01 14:00,CN_SRI_MUM_02631022,0.526,1,+38h
2021-11-09 04:00,CN_SRI_MUM_02631022,-1.308,1,+04h
2021-11-22 22:00,CN_SRI_MUM_02631022,1.188,2,+46h
2021-11-09 14:00,CN_SRI_MUM_02631022,-0.895,1,+14h
2021-12-09 00:00,CN_SRI_MUM_02631022,0.673,2,+48h
2021-11-23 15:00,CN_SRI_MUM_02631022,-0.790,1,+39h
2021-11-12 00:00,CN_SRI_MUM_02631022,0.830,2,+48h
2021-12-03 11:00,CN_SRI_MUM_02631022,-0.777,1,+35h
2021-12-10 01:00,CN_SRI_MUM_02631022,0.151,1,+25h
2021-12-04 22:00,CN_SRI_MUM_02631022,0.055,1,+46h
2021-11-26 00:00,CN_SRI_MUM_02631022,0.877,2,+48h
2021-11-24 13:00,CN_SRI_MUM_02631022,-0.815,1,+37h
2021-11-21 05:00,CN_SRI_MUM_02631022,-0.189,1,+29h
2021-12-02 11:00,CN_SRI_MUM_02631022,-1.097,1,+35h
2021-12-07 07:00,CN_SRI_MUM_02631022,1.017,2,+31h
2021-11-19 13:00,CN_SRI_MUM_02631022,-0.765,1,+37h
2021-11-09 19:00,CN_SRI_MUM_02631022,0.453,1,+19h
2021-11-17 07:00,CN_SRI_MUM_02631022,0.647,2,+31h
2021-11-20 18:00,CN_SRI_MUM_02631022,0.911,2,+42h
2021-11-19 16:00,CN_SRI_MUM_02631022,0.398,1,+40h
2021-11-27 09:00,CN_SRI_MUM_02631022,0.292,1,+33h
2021-12-06 00:00,CN_SRI_MUM_02631022,-1.082,1,+48h
2021-11-17 13:00,CN_SRI_MUM_02631022,-0.559,1,+37h
2021-11-20 02:00,CN_SRI_MUM_02631022,-1.123,1,+26h
2021-11-11 07:00,CN_SRI_MUM_02631022,-0.799,1,+31h
2021-12-07 08:00,CN_SRI_MUM_02631022,1.325,2,+32h
2021-11-25 23:00,CN_SRI_MUM_02631022,1.109,2,+47h
2021-12-10 05:00,CN_SRI_MUM_02631022,-1.587,1,+29h
2021-11-30 19:00,CN_SRI_MUM_02631022,-0.302,1,+43h
2021-11-21 01:00,CN_SRI_MUM_02631022,-1.039,1,+25h
2021-12-09 21:00,CN_SRI_MUM_02631022,0.989,2,+45h
2021-11-14 11:00,CN_SRI_MUM_02631022,-0.413,1,+35h
2021-11-24 14:00,CN_SRI_MUM_02631022,-1.040,1,+38h
2021-12-03 07:00,CN_SRI_MUM_02631022,0.868,2,+31h
2021-11-27 21:00,CN_SRI_MUM_02631022,0.518,1,+45h
2021-12-01 19:00,CN_SRI_MUM_02631022,0.398,1,+43h
2021-12-09 01:00,CN_SRI_MUM_02631022,-0.014,1,+25h
2021-11-12 16:00,CN_SRI_MUM_02631022,-0.344,1,+40h
2021-11-18 01:00,CN_SRI_MUM_02631022,-1.046,1,+25h
2021-11-13 23:00,CN_SRI_MUM_02631022,0.253,1,+47h
2021-11-14 23:00,CN_SRI_MUM_02631022,-0.213,1,+47h
2021-12-03 05:00,CN_SRI_MUM_02631022,1.112,2,+29h
2021-12-01 15:00,CN_SRI_MUM_02631022,0.932,2,+39h
2021-11-29 10:00,CN_SRI_MUM_02631022,-0.376,1,+34h
2021-11-25 22:00,CN_SRI_MUM_02631022,1.155,2,+46h
2021-12-04 14:00,CN_SRI_MUM_02631022,-0.611,1,+38h
2021-12-01 01:00,CN_SRI_MUM_02631022,0.062,1,+25h
2021-11-22 04:00,CN_SRI_MUM_02631022,-0.850,1,+28h
2021-11-25 00:00,CN_SRI_MUM_02631022,0.622,1,+48h
2021-11-15 07:00,CN_SRI_MUM_02631022,-0.183,1,+31h
2021-12-07 12:00,CN_SRI_MUM_02631022,-0.270,1,+36h
2021-12-08 20:00,CN_SRI_MUM_02631022,1.332,2,+44h
2021-12-04 00:00,CN_SRI_MUM_02631022,-1.400,1,+48h
2021-11-27 20:00,CN_SRI_MUM_02631022,0.155,1,+44h
2021-11-25 19:00,CN_SRI_MUM_02631022,0.201,1,+43h
2021-11-18 02:00,CN_SRI_MUM_02631022,-0.674,1,+26h
2021-11-26 01:00,CN_SRI_MUM_02631022,0.479,1,+25h
2021-12-10 13:00,CN_SRI_MUM_02631022,0.154,1,+37h
2021-11-10 10:00,CN_SRI_MUM_02631022,0.478,1,+34h
2021-11-11 02:00,CN_SRI_MUM_02631022,0.229,1,+26h
2021-11-16 22:00,CN_SRI_MUM_02631022,-0.945,1,+46h
2021-11-15 11:00,CN_SRI_MUM_02631022,-0.651,1,+35h
2021-11-16 18:00,CN_SRI_MUM_02631022,0.547,1,+42h
2021-11-21 12:00,CN_SRI_MUM_02631022,-0.713,1,+36h
2021-11-18 22:00,CN_SRI_MUM_02631022,-0.211,1,+46h
2021-12-01 02:00,CN_SRI_MUM_02631022,0.376,1,+26h
2021-11-29 06:00,CN_SRI_MUM_02631022,-0.332,1,+30h
2021-11-12 02:00,CN_SRI_MUM_02631022,0.333,1,+26h
2021-12-02 22:00,CN_SRI_MUM_02631022,-0.771,1,+46h
2021-12-04 05:00,CN_SRI_MUM_02631022,0.403,1,+29h
2021-11-16 02:00,CN_SRI_MUM_02631022,0.546,1,+26h
2021-11-14 18:00,CN_SRI_MUM_02631022,0.055,1,+42h
2021-11-20 23:00,CN_SRI_MUM_02631022,-0.206,1,+47h
2021-11-28 19:00,CN_SRI_MUM_02631022,-0.520,1,+43h
2021-12-01 04:00,CN_SRI_MUM_02631022,0.404,1,+28h
2021-12-06 02:00,CN_SRI_MUM_02631022,-1.714,1,+26h
2021-12-07 14:00,CN_SRI_MUM_02631022,-1.050,1,+38h
2021-11-24 23:00,CN_SRI_MUM_02631022,1.011,2,+47h
2021-11-14 05:00,CN_SRI_MUM_02631022,0.245,1,+29h
2021-12-02 00:00,CN_SRI_MUM_02631022,-0.589,1,+48h
2021-11-16 21:00,CN_SRI_MUM_02631022,-0.631,1,+45h
2021-11-16 19:00,CN_SRI_MUM_02631022,0.225,1,+43h
2021-11-18 03:00,CN_SRI_MUM_02631022,-0.180,1,+27h
2021-12-03 22:00,CN_SRI_MUM_02631022,-0.528,1,+46h
2021-12-03 18:00,CN_SRI_MUM_02631022,1.722,2,+42h
2021-12-03 06:00,CN_SRI_MUM_02631022,1.121,2,+30h
2021-11-14 21:00,CN_SRI_MUM_02631022,-0.548,1,+45h
2021-12-07 05:00,CN_SRI_MUM_02631022,-0.072,1,+29h
2021-11-15 15:00,CN_SRI_MUM_02631022,0.711,2,+39h
2021-11-25 16:00,CN_SRI_MUM_02631022,-0.768,1,+40h
2021-12-03 21:00,CN_SRI_MUM_02631022,0.188,1,+45h
2021-12-09 04:00,CN_SRI_MUM_02631022,-1.311,1,+28h
2021-11-29 17:00,CN_SRI_MUM_02631022,-0.055,1,+41h
2021-11-26 19:00,CN_SRI_MUM_02631022,-0.040,1,+43h
2021-11-10 01:00,CN_SRI_MUM_02631022,0.259,1,+25h
2021-11-16 20:00,CN_SRI_MUM_02631022,-0.205,1,+44h
2021-11-22 11:00,CN_SRI_MUM_02631022,-0.046,1,+35h
2021-11-23 06:00,CN_SRI_MUM_02631022,-0.057,1,+30h
2021-11-29 02:00,CN_SRI_MUM_02631022,0.797,2,+26h
2021-12-06 03:00,CN_SRI_MUM_02631022,-1.502,1,+27h
2021-11-23 11:00,CN_SRI_MUM_02631022,0.145,1,+35h
2021-11-13 20:00,CN_SRI_MUM_02631022,-0.507,1,+44h
2021-12-07 01:00,CN_SRI_MUM_02631022,-0.511,1,+25h
2021-11-24 12:00,CN_SRI_MUM_02631022,-0.427,1,+36h
2021-11-18 21:00,CN_SRI_MUM_02631022,0.350,1,+45h
2021-11-17 16:00,CN_SRI_MUM_02631022,0.662,2,+40h
2021-11-20 10:00,CN_SRI_MUM_02631022,-0.343,1,+34h
2021-11-19 22:00,CN_SRI_MUM_02631022,0.017,1,+46h
2021-11-29 22:00,CN_SRI_MUM_02631022,-0.430,1,+46h
2021-12-10 11:00,CN_SRI_MUM_02631022,0.375,1,+35h
2021-11-22 16:00,CN_SRI_MUM_02631022,-0.279,1,+40h
2021-11-29 21:00,CN_SRI_MUM_02631022,-0.621,1,+45h
2021-11-27 19:00,CN_SRI_MUM_02631022,-0.132,1,+43h
2021-11-09 23:00,CN_SRI_MUM_02631022,1.386,2,+23h
2021-11-13 12:00,CN_SRI_MUM_02631022,0.332,1,+36h
2021-12-05 00:00,CN_SRI_MUM_02631022,-1.132,1,+48h
2021-11-28 08:00,CN_SRI_MUM_02631022,-0.404,1,+32h
2021-11-14 00:00,CN_SRI_MUM_02631022,0.583,1,+48h
2021-12-06 01:00,CN_SRI_MUM_02631022,-1.584,1,+25h
2021-11-30 10:00,CN_SRI_MUM_02631022,-0.427,1,+34h
2021-11-21 00:00,CN_SRI_MUM_02631022,-0.709,1,+48h
2021-11-26 12:00,CN_SRI_MUM_02631022,0.320,1,+36h
2021-12-05 20:00,CN_SRI_MUM_02631022,1.509,2,+44h
2021-11-19 09:00,CN_SRI_MUM_02631022,0.348,1,+33h
2021-11-23 17:00,CN_SRI_MUM_02631022,-0.092,1,+41h
2021-11-17 21:00,CN_SRI_MUM_02631022,-0.217,1,+45h
2021-11-24 21:00,CN_SRI_MUM_02631022,1.171,2,+45h
2021-11-29 07:00,CN_SRI_MUM_02631022,-0.566,1,+31h
2021-11-18 14:00,CN_SRI_MUM_02631022,-0.295,1,+38h
2021-11-14 04:00,CN_SRI_MUM_02631022,0.632,1,+28h
2021-11-17 08:00,CN_SRI_MUM_02631022,0.249,1,+32h
2021-11-15 00:00,CN_SRI_MUM_02631022,0.097,1,+48h
2021-11-15 19:00,CN_SRI_MUM_02631022,0.101,1,+43h
2021-11-23 09:00,CN_SRI_MUM_02631022,0.592,1,+33h
2021-11-15 04:00,CN_SRI_MUM_02631022,0.840,2,+28h
2021-12-02 04:00,CN_SRI_MUM_02631022,0.820,2,+28h
2021-11-28 09:00,CN_SRI_MUM_02631022,-0.219,1,+33h
2021-12-08 18:00,CN_SRI_MUM_02631022,0.155,1,+42h
2021-11-28 00:00,CN_SRI_MUM_02631022,1.161,2,+48h
2021-11-20 12:00,CN_SRI_MUM_02631022,-1.052,1,+36h
